PQGram,Count
script|doIf|{script}|show|*|*|*,2
"{script}|hide",1
"{script}|show",3
doIf|{script}|gotoXY|*,21
"{customBlock:userDef}|*|script",12
"{reportEquals}|*|literal:userDef|var:userDef|*",34
doUntil|{reportKeyPressed}|literal:userDef|*|*,2
script|{doSetVar}|varMenu:userDef|literal:userDef|*|*,17
script|doIf|{reportAnd}|*|*|*|reportEquals,34
sprite:userDef|{script}|gotoXY,13
doIf|script|{doSwitchToCostume}|literal:userDef|*|*,15
doIfElse|{script}|hide,2
"{reportTouchingObject}|*|*|*|literal:userDef",7
doIfElse|{reportEquals}|var:userDef|*|*,6
script|{doIf}|*|*|reportEquals|script,3
stage:userDef|sprite:userDef|{script}|*|*|*|receiveMessage,8
sprite:userDef|{script}|receiveMessage|doForever|*,7
"{script}|doSetVar",44
customBlock:userDef|script|{doIf}|script,26
"{reportEquals}|var:userDef|*|*",88
doIf|{reportAnd}|*|*|reportEquals,12
customBlock:userDef|script|{doIf}|script|*|*|*,10
"{gotoXY}|*|*|*|literal:userDef",25
"{reportEquals}|literal:userDef|var:userDef|*|*",50
"{customBlock:userDef}|*|*|*|script",15
sprite:userDef|script|{doForever}|*|script,1
doIf|reportAnd|{reportEquals}|var:userDef,11
doForever|script|{doIf}|script|*|*|*,21
script|{doSwitchToCostume}|*|*|literal:userDef|*,14
reportAnd|{reportLessThan}|literal:userDef|yPosition,1
doIf|{script}|*|doSwitchToCostume,15
script|{gotoXY}|literal:userDef|*|*|*,12
doIf|script|{gotoXY}|yPosition|*|*|*,13
script|{doIf}|reportAnd|script|*|*,9
doUntil|{reportKeyPressed}|literal:userDef|*|*|*,8
script|{doWait}|literal:userDef|*|*|*,40
stage:userDef|{script}|doHideVar,9
sprite:userDef|{script}|*|*|*|receiveMessage,23
"{sprite:userDef}|script|script",5
script|{doIf}|*|reportAnd|script|*,15
"{script}|*|receiveMessage|show",3
"{reportLessThan}|literal:userDef",6
script|doIf|{script}|doBroadcast,8
reportAnd|{reportEquals}|*|*|literal:userDef,23
sprite:userDef|script|{doSetVar}|varMenu:userDef,5
customBlock:userDef|{script}|doIf|*|*,14
sprite:userDef|script|{doSwitchToCostume}|*|*|literal:userDef,33
sprite:userDef|{script}|receiveMessage|show|doSwitchToCostume|doUntil,5
"{reportEquals}|var:userDef|*|*|*",77
reportAnd|{reportAnd}|reportEquals|reportTouchingObject,1
reportAnd|{reportTouchingObject}|literal:userDef|*|*|*,5
script|doIf|{reportEquals}|var:userDef|*|*|*,19
script|{gotoXY}|*|*|*|xPosition,3
sprite:userDef|customBlock:userDef|{script}|doIf,32
script|doIf|{script}|*|doSwitchToCostume|*,27
stage:userDef|{script}|doForever|*|*|*,1
"{doIf}|*|*|*|reportEquals",8
"{doIfElse}|script|*|*",8
"{doWait}|literal:userDef|*|*",24
"{script}|*|changeXPosition|*",1
sprite:userDef|script|{doSwitchToCostume}|literal:userDef|*|*|*,25
sprite:userDef|{script}|doSetVar|gotoXY|doForever|*,1
sprite:userDef|script|{doGlide}|literal:userDef,1
script|{doSwitchToCostume}|literal:userDef|*|*|*,6
script|{doForever}|*|*|script|*,15
reportAnd|{reportEquals}|var:userDef|*|*,22
doIf|reportAnd|{reportLessThan}|literal:userDef|yPosition|*,3
reportAnd|{reportTouchingObject}|*|literal:userDef,5
stage:userDef|sprite:userDef|{script}|*|receiveMessage,9
doIfElse|{reportEquals}|*|*|literal:userDef,7
script|{doIf}|*|*|var:userDef,2
"*|snapshot|{stage:userDef}|sprite:userDef",17
"{script}|*|*|*|doBroadcast",6
"{sprite:userDef}|*|script",11
"{sprite:userDef}|script",22
script|{doSwitchToCostume}|literal:userDef|*|*|*,29
script|{goToLayer}|*|literal:userDef,3
stage:userDef|script|{doHideVar}|*|varMenu:userDef|*|*,8
doIf|script|{doSetVar}|*|*|varMenu:userDef|literal:userDef,27
script|{doWait}|literal:userDef|*|*,21
reportAnd|{reportEquals}|*|literal:userDef|var:userDef,43
stage:userDef|{sprite:userDef}|script|script|script|*,3
"*|{snapshot}|varDec:userDef|*|*",1
"{reportLessThan}|literal:userDef|xPosition|*|*",8
sprite:userDef|script|{doSetVar}|*|*|varMenu:userDef,15
script|{gotoXY}|xPosition|literal:userDef,1
"{script}|*|doSwitchToCostume",16
"{doSwitchToCostume}|literal:userDef|*|*|*",2
script|receiveMessage|{literal:userDef}|*|*|*,1
reportAnd|{reportLessThan}|*|*|xPosition|literal:userDef,5
"{doIf}|reportAnd",2
doIf|{script}|doWait,6
"{script}|hide|*|*|*",29
doIf|script|{doSwitchToCostume}|*|literal:userDef|*,20
reportAnd|{reportEquals}|*|literal:userDef,31
script|doIf|{reportEquals}|var:userDef,14
sprite:userDef|{script}|doIf|*|*|*,1
script|{doSwitchToCostume}|*|*|literal:userDef,67
script|doUntil|{script}|doWait|*|*|*,9
"{reportEquals}|literal:userDef",72
script|{receiveMessage}|*|literal:userDef|*,4
script|doIf|{script}|*|doSwitchToCostume|*,4
reportAnd|{reportTouchingObject}|*|*|literal:userDef|*,13
"{sprite:userDef}|script|script|*|*",3
doIf|{script}|*|*|doSwitchToCostume,6
"{doIf}|script",57
doIf|reportAnd|{reportLessThan}|literal:userDef|xPosition|*,8
"{reportEquals}|literal:userDef|var:userDef|*",58
stage:userDef|sprite:userDef|{customBlock:userDef}|varDec:userDef|varDec:userDef|*|*,1
"{sprite:userDef}|customBlock:userDef|*",1
script|{doWait}|*|literal:userDef|*|*,20
script|doUntil|{script}|hide|*|*|*,2
