PQGram,Count
stage:userDef|sprite:userDef|{script}|doSwitchToCostume|*|*,5
sprite:userDef|{script}|receiveMessage|hide,2
sprite:userDef|{script}|gotoXY,3
sprite:userDef|script|{doBroadcast}|literal:userDef|*|*,5
"{script}|hide",1
"{script}|show",3
doForever|{script}|setEffect|gotoXY,1
"{receiveMessage}|literal:userDef|*|*|*",28
snapshot|stage:userDef|{sprite:userDef}|script|script|script,5
"{script}|receiveGo|doSwitchToCostume|gotoXY|*",1
sprite:userDef|{script}|*|*|receiveInteraction|doBroadcast,3
snapshot|stage:userDef|{script}|receiveGo,1
sprite:userDef|script|{receiveMessage}|literal:userDef|*,1
sprite:userDef|{script}|receiveMessage|show|*|*,6
sprite:userDef|{script}|gotoXY|goBack,2
stage:userDef|sprite:userDef|{script}|receiveMessage,5
sprite:userDef|{script}|gotoXY,13
"{receiveMessage}|*|*|literal:userDef|*",17
"{script}|goBack",2
"{script}|*|*|receiveMessage|hide",6
stage:userDef|sprite:userDef|{script}|*|*|*|receiveMessage,8
stage:userDef|sprite:userDef|{script}|receiveMessage|doSwitchToCostume|*,5
sprite:userDef|script|{receiveInteraction}|*|literal:userDef|*,7
doTellTo|{reifyScript}|*|*|list|script,1
script|{hide}|*|*|*,1
sprite:userDef|script|{doBroadcast}|*|*|literal:userDef,6
sprite:userDef|{script}|*|receiveMessage|gotoXY,8
snapshot|stage:userDef|{script}|receiveMessage|playSound|*,1
"{script}|gotoXY|*|*|*",9
stage:userDef|sprite:userDef|{script}|*|receiveMessage|gotoXY|*,8
stage:userDef|sprite:userDef|{script}|receiveGo|hide|*,2
sprite:userDef|script|{doForever}|*|script,1
reifyScript|script|{doSwitchToCostume}|literal:userDef|*,1
sprite:userDef|{script}|*|*|receiveGo,2
script|{doSwitchToCostume}|*|*|literal:userDef|*,14
sprite:userDef|script|{doTellTo}|reifyScript|list|*|*,1
script|{gotoXY}|literal:userDef|*|*|*,12
script|{receiveMessage}|*|*|literal:userDef,36
"{doBroadcast}|*|literal:userDef|*|*",6
"{sprite:userDef}|script|*|*",7
script|{gotoXY}|literal:userDef|*,6
"{sprite:userDef}|script",79
sprite:userDef|{script}|*|*|*|receiveMessage,23
"{sprite:userDef}|script|script",5
sprite:userDef|{script}|hide|*|*|*,4
stage:userDef|sprite:userDef|{script}|hide|*|*,5
"{receiveMessage}|*|literal:userDef|*|*",32
"{script}|*|receiveMessage|show",3
"*|snapshot|{stage:userDef}|sprite:userDef|sprite:userDef",4
sprite:userDef|{script}|hide,12
"{script}|show|*",6
stage:userDef|sprite:userDef|{script}|receiveMessage|show|*|*,7
snapshot|customBlock:userDef|{script}|*|*|*|*,1
"{script}|receiveInteraction|doBroadcast",3
stage:userDef|sprite:userDef|{script}|doWearNextCostume|*,2
script|{gotoXY}|literal:userDef|literal:userDef,11
doPlaySoundUntilDone|{literal:userDef}|*|*,1
"{sprite:userDef}|script|script|script|script",35
"{sprite:userDef}|script|script",15
script|{receiveMessage}|*|*|*|literal:userDef,29
stage:userDef|{script}|doForever|*|*|*,1
script|{receiveMessage}|literal:userDef|*|*,19
stage:userDef|{sprite:userDef}|script|script,16
stage:userDef|sprite:userDef|{script}|receiveMessage|hide,7
"{reportRandom}|literal:userDef",6
snapshot|stage:userDef|{sprite:userDef}|*|*|script,15
stage:userDef|sprite:userDef|{script}|*|*|receiveMessage|gotoXY,8
"{script}|*|*|*|receiveMessage",8
script|{doSwitchToCostume}|literal:userDef|*|*|*,6
sprite:userDef|{script}|*|*|receiveMessage,8
sprite:userDef|script|{gotoXY}|literal:userDef,16
stage:userDef|sprite:userDef|{script}|show|*|*|*,6
stage:userDef|{script}|receiveGo|doSwitchToCostume|*,1
"{gotoXY}|*|*|literal:userDef|literal:userDef",21
stage:userDef|sprite:userDef|{script}|*|receiveMessage,9
snapshot|stage:userDef|{sprite:userDef}|script|*|*|*,11
"{script}|receiveInteraction|doBroadcast|*|*",3
"{gotoXY}|literal:userDef|*|*|*",4
"{script}|*|*|*|receiveGo",5
sprite:userDef|script|{receiveMessage}|*|literal:userDef,33
sprite:userDef|script|{doSwitchToCostume}|literal:userDef,7
"{receiveMessage}|*|*|literal:userDef",13
stage:userDef|sprite:userDef|{script}|receiveMessage|doSwitchToCostume,3
"{script}|gotoXY|*|*",8
"{gotoXY}|literal:userDef",14
"{snapshot}|customBlock:userDef|*",1
stage:userDef|sprite:userDef|{script}|*|*|receiveGo,23
sprite:userDef|script|{gotoXY}|literal:userDef|literal:userDef,18
sprite:userDef|{script}|*|receiveMessage,36
"{sprite:userDef}|*|script",11
"{sprite:userDef}|script",22
stage:userDef|{sprite:userDef}|script|script,57
"{script}|receiveMessage|doSwitchToCostume|*",7
stage:userDef|{sprite:userDef}|script|script|script|*,3
stage:userDef|{sprite:userDef}|script|script|*,14
sprite:userDef|{script}|*|receiveMessage|hide,3
sprite:userDef|{script}|doBroadcast,7
"{script}|*|receiveGo",11
script|{doBroadcast}|literal:userDef|*|*|*,6
sprite:userDef|{script}|doPlaySoundUntilDone|*,1
"{gotoXY}|literal:userDef|literal:userDef|*",6
stage:userDef|script|{doForever}|script,1
"{doSwitchToCostume}|literal:userDef|*|*|*",2
script|receiveMessage|{literal:userDef}|*|*|*,1
stage:userDef|sprite:userDef|{script}|*|*|receiveGo|show,7
"{doForever}|*|script|*|*",1
"{script}|*|*|evaluateCustomBlock:userDef",1
sprite:userDef|script|{receiveMessage}|literal:userDef|*|*|*,11
"{script}|*|receiveGo",21
script|{doSwitchToCostume}|*|*|*|literal:userDef,10
"{sprite:userDef}|*|script",1
sprite:userDef|script|{doSwitchToCostume}|*|*|literal:userDef|*,9
"{receiveInteraction}|*|*|literal:userDef",12
"{script}|*|*|receiveMessage|doSwitchToCostume",2
"{script}|gotoXY",18
sprite:userDef|{script}|*|*|*|receiveGo,14
sprite:userDef|script|{doSwitchToCostume}|literal:userDef|*|*,9
script|{receiveMessage}|*|literal:userDef|*,4
"{sprite:userDef}|script|script|*|*",3
