PQGram,Count
script|doIf|{script}|show|*|*|*,2
sprite:userDef|{script}|receiveMessage|hide,2
script|setScale|{reportSum}|literal:userDef|reportProduct|*,3
"{script}|doIfElse",7
doIf|script|{doIfElse}|*|reportTouchingObject|script,1
"{script}|hide",1
"{script}|show",3
sprite:userDef|{script}|receiveOnClone|doWait,1
sprite:userDef|{script}|doUntil|removeClone|*,2
"{receiveMessage}|literal:userDef|*|*|*",28
snapshot|stage:userDef|{sprite:userDef}|script|script|script,5
script|doIf|{script}|*|doSetVar|doStopThis,1
script|doIf|{script}|doIfElse|*|*|*,1
snapshot|stage:userDef|{script}|receiveGo,1
sprite:userDef|script|{receiveMessage}|literal:userDef|*,1
reportEquals|{reportAttributeOf}|*|*|literal:userDef|literal:userDef,8
script|{doIf}|reportEquals|script|*,11
"{setScale}|*|literal:userDef|*|*",6
script|{doForever}|*|script|*|*,3
"{doIf}|*|reportKeyPressed|script|*",6
setHeading|reportSum|{reportProduct}|literal:userDef|reportMonadic,4
stage:userDef|sprite:userDef|{script}|receiveMessage,5
"{reportAttributeOf}|literal:userDef|literal:userDef|*|*",3
"{script}|receiveMessage|doStopAllSounds",2
"{script}|*|*|*|doStopThis",1
"{reportProduct}|*|*|*|literal:userDef",3
script|{doIf}|reportKeyPressed|script,9
"{script}|*|setHeading|*|*",2
script|doIf|{reportEquals}|*|literal:userDef|var:userDef,7
"{reportTouchingObject}|*|*|*|literal:userDef",7
reportSum|reportProduct|{reportMonadic}|literal:userDef|reportProduct|*|*,2
script|doForever|{script}|*|*|*|setXPosition,1
script|{doIf}|*|*|reportEquals|script,3
"{doForever}|*|*|*|script",6
stage:userDef|sprite:userDef|{script}|*|*|*|receiveMessage,8
stage:userDef|sprite:userDef|{script}|reportNot|*|*|*,3
script|{gotoXY}|reportRandom,2
stage:userDef|sprite:userDef|{script}|doSetVar|show|doWait,1
reportLessThan|{var:userDef}|*|*|*,1
doIf|script|{doStopThis}|*|*|*|literal:userDef,2
sprite:userDef|script|{receiveOnClone}|*,1
"{reportAttributeOf}|*|*|literal:userDef|literal:userDef",9
"{doIf}|script|*|*",42
stage:userDef|sprite:userDef|{script}|hide|*|*|*,32
sprite:userDef|script|{doForever}|*|script,1
script|doIf|{reportLessThan}|var:userDef,2
doIf|{reportLessThan}|*|*|*|var:userDef,1
doForever|script|{doIf}|script|*|*|*,21
doForever|script|{doIf}|*|reportKeyPressed,4
snapshot|stage:userDef|{script}|receiveGo|doStopAllSounds,1
doIfElse|{script}|setScale|*|*|*,10
"{reportLessThan}|var:userDef|literal:userDef|*",1
script|doForever|{script}|*|*|createClone|doChangeVar,1
"{setHeading}|*|*|*|literal:userDef",5
script|{receiveMessage}|literal:userDef|*|*|*,48
"{script}|removeClone|*|*|*",3
sprite:userDef|{script}|*|*|*|receiveMessage,23
"{sprite:userDef}|script|script",5
sprite:userDef|{script}|hide|*|*|*,4
script|{doIf}|reportMouseDown,1
"{doIf}|*|reportTouchingObject|script|*",3
script|doIfElse|{script}|setScale|*|*|*,1
reportProduct|reportMonadic|{reportProduct}|getTimer|literal:userDef,8
"{script}|*|receiveMessage|show",3
"{reportLessThan}|literal:userDef",6
script|setScale|{reportSum}|*|*|*|literal:userDef,4
snapshot|{stage:userDef}|script,10
"{doIf}|script|*|*|*",22
script|gotoXY|{reportRandom}|*|*|literal:userDef|literal:userDef,2
script|{doIf}|*|reportLessThan|script|*,2
sprite:userDef|script|{doSetVar}|varMenu:userDef,5
reportSum|{reportProduct}|literal:userDef|reportMonadic|*|*,5
script|{doIf}|reportMouseDown|script,4
"{setHeading}|*|*|reportSum|*",2
doIfElse|script|{doIf}|*|reportMouseDown,1
stage:userDef|sprite:userDef|{script}|doGotoObject|doForever,1
sprite:userDef|{script}|hide,22
sprite:userDef|{script}|*|doStopThis|*|*,3
doIf|{script}|*|*|*|doIf,2
sprite:userDef|{script}|hide|*|*|*,27
script|doIfElse|{reportTouchingObject}|*|*|literal:userDef|*,4
"{doIf}|*|*|*|reportEquals",8
script|{receiveMessage}|literal:userDef|*|*,19
doIf|script|{doChangeVar}|literal:userDef,2
stage:userDef|sprite:userDef|{script}|receiveMessage|hide,7
"{reportRandom}|literal:userDef",6
snapshot|stage:userDef|{sprite:userDef}|*|*|script,15
"{script}|receiveMessage|hide|*|*",14
"{script}|*|changeXPosition|*",1
doIf|script|{forward}|*|literal:userDef|*,2
sprite:userDef|{script}|doUntil|removeClone,1
doIf|script|{doIf}|reportTouchingObject,1
script|{doForever}|*|*|script|*,15
script|doForever|{script}|doIfElse|*|*,1
script|turn|{reportRandom}|*|literal:userDef|literal:userDef,1
"{script}|*|*|setHeading",6
doForever|script|{doWait}|*|*|literal:userDef|*,1
script|doUntil|{reportLessThan}|xPosition|literal:userDef,2
stage:userDef|sprite:userDef|{script}|*|receiveMessage,9
snapshot|stage:userDef|{sprite:userDef}|script|*|*|*,11
"{doChangeVar}|literal:userDef|*",3
reportProduct|reportMonadic|{reportProduct}|*|getTimer|literal:userDef,5
"{gotoXY}|literal:userDef|*|*|*",4
doIfElse|{script}|setScale,14
"{setHeading}|*|*|reportSum",1
script|doIfElse|{reportTouchingObject}|*|*|*|literal:userDef,7
doIfElse|script|{setScale}|*|*|literal:userDef,2
stage:userDef|sprite:userDef|{script}|hide|*,18
"{doIf}|*|reportLessThan",4
"{gotoXY}|literal:userDef",14
sprite:userDef|{script}|doWait,5
sprite:userDef|{script}|show|doForever,4
sprite:userDef|script|{reportTouchingObject}|literal:userDef|*,2
sprite:userDef|{script}|*|receiveMessage,36
"{script}|*|*|*|doBroadcast",6
"{sprite:userDef}|*|script",11
"{sprite:userDef}|script",22
sprite:userDef|{script}|hide|*,25
sprite:userDef|script|{doForever}|*|*|*|script,6
stage:userDef|{sprite:userDef}|script|script,57
stage:userDef|{sprite:userDef}|script|script|script|*,3
"*|{snapshot}|varDec:userDef|*|*",1
script|{doBroadcast}|literal:userDef|*|*|*,6
"{doForever}|*|script",5
script|doIf|{script}|doIf|*,6
sprite:userDef|{script}|*|*|doStopThis,1
script|doIfElse|{reportTouchingObject}|*|literal:userDef|*|*,1
reportEquals|{literal:userDef}|*|*|*,1
doForever|{script}|doIf|*,7
script|receiveMessage|{literal:userDef}|*|*|*,1
"{script}|*|*|evaluateCustomBlock:userDef",1
"{doIf}|reportAnd",2
doIf|script|{forward}|literal:userDef|*,1
"{script}|hide|*|*|*",29
"{script}|*|*|*|forward",3
"{reportNot}|*|reportEquals|*|*",3
"{reportMouseDown}|*|*|*|*",1
script|{receiveMessage}|*|literal:userDef|*,4
"{sprite:userDef}|script|script|*|*",3
"{gotoXY}|*|literal:userDef|reportRandom",1
doForever|script|{setHeading}|*|reportSum,1
sprite:userDef|{script}|*|*|reportMouseY|*,1
doForever|script|{doIf}|*|reportNot,3
"{turn}|reportRandom",1
"{doBroadcast}|literal:userDef|*|*|*",2
doIf|{script}|doIf,13
setScale|reportSum|{reportProduct}|literal:userDef,1
"{changeYPosition}|*|literal:userDef",2
script|{hide}|*|*,1
"{sprite:userDef}|*|*|script",10
"{receiveMessage}|*|literal:userDef|*",32
"{reportEquals}|var:userDef|*|*",6
"{script}|show|doWait|hide",1
script|doIf|{script}|*|show|doIf|*,3
sprite:userDef|{script}|reportTouchingObject,1
doForever|{script}|doIf|*|*,5
script|{doWait}|literal:userDef|*,5
reportMonadic|{reportProduct}|*|getTimer,7
snapshot|stage:userDef|{sprite:userDef}|script,37
doForever|script|{doIf}|*|*|*|reportEquals,5
stage:userDef|{sprite:userDef}|script,1
script|{setHeading}|*|*|*|reportSum,3
stage:userDef|{script}|doStopAllSounds,2
"{snapshot}|stage:userDef|customBlock:userDef|customBlock:userDef|varDec:userDef",1
sprite:userDef|{script}|receiveGo|show|*|*,1
"{reportProduct}|*|*|getTimer",7
script|doForever|{script}|*|doIf|*|*,4
stage:userDef|sprite:userDef|{script}|receiveMessage|show,1
reportProduct|reportMonadic|{reportProduct}|literal:userDef,8
script|doIfElse|{script}|*|setScale|*|*,5
sprite:userDef|{script}|doSetVar|doForever|*,3
"{script}|receiveMessage",48
script|setScale|{reportSum}|*|literal:userDef,4
"{doStopThis}|*|literal:userDef|*|*",9
"{doIf}|reportNot|script",1
stage:userDef|sprite:userDef|{script}|*|receiveGo,6
script|doIf|{script}|*|turn|forward|doWait,1
sprite:userDef|{script}|*|receiveMessage|hide|*,13
"{reportMonadic}|reportProduct|*",7
"{receiveMessage}|*|*|*|literal:userDef",49
script|{receiveMessage}|*|literal:userDef|*|*,28
"{receiveMessage}|literal:userDef",15
doUntil|{reportLessThan}|xPosition,2
stage:userDef|sprite:userDef|{script}|*|receiveGo,3
"{receiveMessage}|*|*|literal:userDef",23
"{doChangeVar}|*|varMenu:userDef|literal:userDef|*",4
"{script}|*|show|*",1
"{script}|hide|*|*",7
"{reportProduct}|literal:userDef|reportMonadic|*",5
doIf|script|{doGotoObject}|*|*|literal:userDef|*,2
script|{receiveMessage}|*|literal:userDef|*,7
snapshot|stage:userDef|{script}|doBroadcast|doStopThis|*|*,1
changeEffect|reportSum|{literal:userDef}|*|*|*|*,1
reportEquals|{reportAttributeOf}|literal:userDef|*|*|*,7
"{script}|doBroadcast|*|*",5
doIf|script|{doIf}|*|*|reportAnd|script,3
doIfElse|{script}|*|setScale,4
sprite:userDef|script|{doForever}|*|*|script|*,15
stage:userDef|sprite:userDef|{script}|receiveMessage|show,4
"{reportTouchingObject}|*|literal:userDef|*",2
stage:userDef|{sprite:userDef}|script|*|*|*,13
reportMonadic|{reportProduct}|*|*|getTimer,5
sprite:userDef|{script}|setHeading|doUntil,1
"{script}|*|*|doBroadcast|doStopThis",1
"{reportLessThan}|literal:userDef",5
script|{changeYPosition}|*|*|*|literal:userDef,5
script|{doForever}|script|*|*,15
script|doPlaySoundUntilDone|{literal:userDef}|*|*,1
"{receiveMessage}|*|*|*|literal:userDef",46
"{sprite:userDef}|*|script|script",12
doForever|{script}|doIf,6
script|doIfElse|{script}|doIf|*,1
setHeading|reportSum|{reportProduct}|reportMonadic,3
stage:userDef|{script}|*|receiveMessage|evaluateCustomBlock:userDef,3
sprite:userDef|script|{doForever}|script,3
sprite:userDef|script|{receiveMessage}|*|literal:userDef|*,35
"{doIf}|*|*|*|reportEquals",11
doForever|script|{setHeading}|*|reportSum|*,2
stage:userDef|sprite:userDef|{script}|receiveMessage|hide,10
sprite:userDef|script|{setHeading}|*|*|literal:userDef|*,2
sprite:userDef|script|{receiveInteraction}|literal:userDef|*,2
setScale|{reportSum}|*|literal:userDef|reportProduct|*,3
snapshot|stage:userDef|{sprite:userDef}|script|script|script|script,22
doForever|script|{setHeading}|*|reportSum,4
script|{doSetVar}|*|varMenu:userDef|literal:userDef|*,6
doIf|{script}|*|doBroadcast|*|*,1
doForever|script|{changeEffect}|literal:userDef|literal:userDef,1
script|{doIf}|reportKeyPressed,10
sprite:userDef|script|{doBroadcast}|literal:userDef,1
script|{receiveMessage}|*|literal:userDef,51
script|doIf|{script}|*|*|*|doIfElse,3
setScale|{reportSum}|literal:userDef|reportProduct|*|*,3
"{gotoXY}|literal:userDef|*|*|*",7
"{reportAttributeOf}|*|literal:userDef|literal:userDef",8
script|{doIf}|reportNot,1
"{reportRandom}|literal:userDef",7
"*|*|{snapshot}|*|*|stage:userDef|customBlock:userDef",1
"{setScale}|*|literal:userDef|*|*",9
"{doSetVar}|*|varMenu:userDef|literal:userDef|*",2
"{snapshot}|varDec:userDef|varDec:userDef",4
doForever|script|{doIf}|*|reportLessThan|script|*,1
script|{doStopAllSounds}|*|*,1
script|{receiveMessage}|*|*|literal:userDef|*,33
reportEquals|{reportAttributeOf}|*|literal:userDef,3
"{reportTouchingObject}|*|*|*|literal:userDef",10
setScale|{reportSum}|reportProduct|*,2
"{script}|*|*|*|receiveOnClone",2
"{receiveMessage}|literal:userDef|*|*|*",31
sprite:userDef|script|{receiveMessage}|literal:userDef|*,4
"{doSetVar}|*|*|varMenu:userDef",8
"{doIf}|*|reportNot|script",1
doUntil|{reportLessThan}|literal:userDef|*|*|*,1
"{doIf}|*|reportKeyPressed|script|*",9
sprite:userDef|script|{doWait}|*|*|literal:userDef|*,1
doIf|{reportTouchingObject}|literal:userDef|*|*,3
"{script}|*|doGotoObject|doChangeVar|*",1
"{script}|hide|*|*|*",26
sprite:userDef|{script}|doStopThis|*,2
"{doSetVar}|*|*|*|varMenu:userDef",7
"{doStopThis}|literal:userDef|*|*",8
script|{gotoXY}|literal:userDef,11
"{doForever}|*|script|*",10
doIfElse|script|{doIf}|*|reportMouseDown,4
sprite:userDef|{script}|receiveMessage|hide|*|*,9
"{receiveMessage}|literal:userDef|*|*",21
"*|snapshot|{stage:userDef}|script|script|script",2
"{sprite:userDef}|*|*|script|script",14
"{reportAnd}|*|*|reportMouseDown",2
script|doIf|{reportLessThan}|*|*|literal:userDef,2
"{script}|setScale|*|*",5
script|{gotoXY}|*|literal:userDef|literal:userDef,5
