PQGram,Count
sprite:userDef|{script}|*|*|evaluateCustomBlock:userDef,77
stage:userDef|sprite:userDef|{script}|*|evaluateCustomBlock:userDef,31
"{script}|hide",1
"{script}|show",3
script|doForever|{script}|*|*|doGlide|*,2
stage:userDef|sprite:userDef|{script}|receiveMessage|doGlide,1
snapshot|stage:userDef|{sprite:userDef}|script|script|script,5
script|{doTellTo}|*|literal:userDef|reifyScript|list,16
sprite:userDef|{script}|hide,42
"{script}|doSwitchToCostume",22
script|{doTellTo}|literal:userDef|reifyScript,12
snapshot|stage:userDef|{script}|receiveGo,1
"{sprite:userDef}|*|*|script|script",17
sprite:userDef|script|{receiveMessage}|literal:userDef|*,1
"{script}|*|evaluateCustomBlock:userDef|hide",53
script|{doForever}|*|script|*|*,3
doGlide|{reportAttributeOf}|*|*|literal:userDef,2
stage:userDef|sprite:userDef|{script}|receiveMessage,5
sprite:userDef|{script}|gotoXY,13
"{reportAttributeOf}|literal:userDef|literal:userDef|*|*",3
sprite:userDef|{script}|evaluateCustomBlock:userDef|show|doSwitchToCostume|*,1
"{reportTouchingObject}|*|*|*|literal:userDef",7
"{script}|evaluateCustomBlock:userDef|show",3
"{doWait}|*|*|*|literal:userDef",10
stage:userDef|sprite:userDef|{script}|*|*|*|receiveMessage,8
"{script}|*|*|evaluateCustomBlock:userDef|show",12
"{reportRandom}|reportAttributeOf|*|*",2
doTellTo|{reifyScript}|*|*|list|script,1
stage:userDef|{sprite:userDef}|script|*,17
script|doTellTo|{reifyScript}|*|*|list|script,11
"{sprite:userDef}|script|script|script",90
"{script}|hide|*",44
sprite:userDef|{script}|*|evaluateCustomBlock:userDef|show|*,5
stage:userDef|sprite:userDef|{script}|hide|*|*|*,32
sprite:userDef|script|{doForever}|*|script,1
stage:userDef|{sprite:userDef}|*|script|script,19
script|{doSwitchToCostume}|*|*|literal:userDef|*,14
"{script}|evaluateCustomBlock:userDef|gotoXY|*|*",4
sprite:userDef|{script}|hide,62
sprite:userDef|script|{doTellTo}|reifyScript|list|*|*,1
script|{gotoXY}|literal:userDef|*|*|*,12
"{setHeading}|*|*|*|literal:userDef",5
"{script}|evaluateCustomBlock:userDef|doStopThis|*",8
"{script}|evaluateCustomBlock:userDef",78
sprite:userDef|script|{doTellTo}|*|*|literal:userDef|reifyScript,2
script|{doTellTo}|literal:userDef|reifyScript|list,9
"{sprite:userDef}|script|script",5
sprite:userDef|{script}|hide|*|*|*,4
"{script}|*|evaluateCustomBlock:userDef|hide|*",36
"{doIf}|*|reportTouchingObject|script|*",3
"{script}|*|evaluateCustomBlock:userDef",106
stage:userDef|sprite:userDef|{script}|hide|*|*|*,69
sprite:userDef|{script}|*|*|*|evaluateCustomBlock:userDef,30
"{script}|*|*|evaluateCustomBlock:userDef|hide",18
reifyScript|{script}|*|doSwitchToCostume|*,15
"{script}|show|*",6
sprite:userDef|script|{doTellTo}|list,7
"{script}|hide|*",64
"{doGlide}|*|*|literal:userDef",6
sprite:userDef|{script}|hide,22
"{doTellTo}|reifyScript|list",13
sprite:userDef|{script}|hide|*|*|*,27
script|{doWait}|*|literal:userDef|*,9
doTellTo|reifyScript|{script}|*|*|doSwitchToCostume|*,15
sprite:userDef|{script}|*|evaluateCustomBlock:userDef|hide|*,16
sprite:userDef|{script}|receiveMessage|doWait,1
reifyScript|script|{doSwitchToCostume}|literal:userDef|*|*|*,5
sprite:userDef|script|{doStopThis}|*|literal:userDef,9
script|doTellTo|{reifyScript}|*|list|script,10
"{reportColorIsTouchingColor}|*|*|literal:userDef|literal:userDef",1
doTellTo|reifyScript|{script}|doSwitchToCostume|*|*,3
"{doGlide}|*|literal:userDef",1
snapshot|stage:userDef|{sprite:userDef}|*|*|script,15
doTellTo|reifyScript|{script}|*|*|*|doSwitchToCostume,14
sprite:userDef|script|{doIfElse}|script|script,1
sprite:userDef|{script}|doStopThis|*|*,9
sprite:userDef|script|{doGlide}|literal:userDef,1
script|{doSwitchToCostume}|literal:userDef|*|*|*,6
doIf|script|{doIf}|reportTouchingObject,1
stage:userDef|sprite:userDef|{script}|show|*|*|*,6
sprite:userDef|script|{doSayFor}|*|literal:userDef|literal:userDef|*,9
script|{doTellTo}|list|*,17
"{script}|hide|*|*",58
doGlide|reportRandom|{reportAttributeOf}|literal:userDef|*|*|*,3
stage:userDef|sprite:userDef|{script}|*|receiveMessage|doGlide|hide,1
sprite:userDef|{script}|evaluateCustomBlock:userDef|hide,32
stage:userDef|sprite:userDef|{script}|*|receiveMessage,9
snapshot|stage:userDef|{sprite:userDef}|script|*|*|*,11
doIf|script|{doSayFor}|literal:userDef|literal:userDef|*,2
doIf|script|{doBroadcastAndWait}|literal:userDef,2
"{script}|doSayFor",3
"{gotoXY}|literal:userDef|*|*|*",4
sprite:userDef|{script}|evaluateCustomBlock:userDef|hide|*,36
script|{doTellTo}|literal:userDef|reifyScript|list|*,10
"{script}|gotoXY|*|*",8
doIf|script|{doTellTo}|list,1
stage:userDef|sprite:userDef|{script}|hide|*,18
"{gotoXY}|literal:userDef",14
