PQGram,Count
"{script}|doIfElse|*",10
sprite:userDef|script|{doBroadcast}|literal:userDef|*|*,5
stage:userDef|sprite:userDef|{script}|*|evaluateCustomBlock:userDef,31
"{script}|hide",1
"{script}|show",3
doIfElse|{script}|*|*|show|*,12
"{sprite:userDef}|*|*|script|script",17
"{reportEquals}|*|literal:userDef|var:userDef|*",34
script|{doSetVar}|varMenu:userDef|literal:userDef|*|*,17
sprite:userDef|{script}|gotoXY,13
sprite:userDef|script|{doIfElse}|*|reportEquals|script|script,23
doIfElse|{script}|hide,2
doIfElse|{reportEquals}|var:userDef|*|*,6
script|doIfElse|{script}|*|gotoXY|doSetVar,44
"{script}|*|*|evaluateCustomBlock:userDef|show",12
"{script}|doSetVar",44
sprite:userDef|{script}|doIfElse,9
doTellTo|{reifyScript}|*|*|list|script,1
stage:userDef|{sprite:userDef}|script|*,17
sprite:userDef|{script}|*|evaluateCustomBlock:userDef|show|*,5
"{gotoXY}|*|*|*|literal:userDef",25
"{gotoXY}|*|*|literal:userDef",66
stage:userDef|sprite:userDef|{script}|doBroadcast|doIfElse,17
stage:userDef|sprite:userDef|{script}|*|*|receiveGo,46
doIfElse|{reportEquals}|*|literal:userDef|var:userDef,27
"{doIfElse}|*|reportEquals|script|script",12
script|{gotoXY}|literal:userDef|*|*|*,12
doIfElse|{script}|*|*|*|gotoXY,30
sprite:userDef|script|{doTellTo}|*|*|literal:userDef|reifyScript,2
"{sprite:userDef}|script|script",5
doIfElse|script|{gotoXY}|*|literal:userDef|literal:userDef|*,7
"{script}|*|*|evaluateCustomBlock:userDef|hide",18
script|doIfElse|{script}|*|gotoXY|doSetVar|*,27
doIfElse|{reportEquals}|literal:userDef|var:userDef|*|*,22
script|doIfElse|{script}|*|*|gotoXY|doSetVar,37
sprite:userDef|script|{doSetVar}|varMenu:userDef,5
sprite:userDef|script|{doIfElse}|*|reportEquals,13
sprite:userDef|{script}|receiveGo|gotoXY|*,12
sprite:userDef|script|{doIfElse}|script,88
stage:userDef|sprite:userDef|{script}|goToLayer|doBroadcast|doIfElse,2
script|doIfElse|{reportEquals}|literal:userDef|var:userDef|*|*,36
doIfElse|{script}|*|*|gotoXY|doSetVar,39
"{doIfElse}|script|*|*",8
"{script}|*|receiveGo|gotoXY|*",12
script|{doIfElse}|reportEquals|script|script,24
sprite:userDef|script|{goToLayer}|literal:userDef|*,6
script|{doSetVar}|literal:userDef,60
"{gotoXY}|literal:userDef",128
stage:userDef|sprite:userDef|{script}|show|*|*|*,6
script|doIfElse|{script}|*|show|*,17
doIfElse|{reportEquals}|*|*|literal:userDef,7
stage:userDef|sprite:userDef|{script}|*|*|receiveGo,23
sprite:userDef|script|{gotoXY}|literal:userDef|literal:userDef,18
"*|snapshot|{stage:userDef}|sprite:userDef",17
"{script}|receiveGo|doSetVar|*|*",12
"{sprite:userDef}|*|script",11
"{sprite:userDef}|script",22
script|{goToLayer}|*|literal:userDef,3
sprite:userDef|{script}|receiveGo|gotoXY,11
stage:userDef|{sprite:userDef}|script|script,57
stage:userDef|{sprite:userDef}|script|script|script|*,3
"*|{snapshot}|varDec:userDef|*|*",1
sprite:userDef|script|{doSetVar}|*|*|varMenu:userDef,15
doIfElse|{script}|*|*|gotoXY|doSetVar,16
doIfElse|{reportEquals}|var:userDef|*,44
"{doIfElse}|*|*|reportEquals",43
"{doSwitchToCostume}|literal:userDef|*|*|*",2
script|receiveMessage|{literal:userDef}|*|*|*,1
"{script}|*|receiveGo",31
script|{gotoXY}|literal:userDef|*|*,42
"{doIfElse}|*|*|reportEquals|script",20
"{script}|hide|*|*|*",29
doIfElse|script|{doSetVar}|literal:userDef|*|*|*,31
sprite:userDef|{script}|*|evaluateCustomBlock:userDef|hide,15
sprite:userDef|{script}|doBroadcast,17
sprite:userDef|script|{doBroadcast}|*|literal:userDef,17
script|{doIfElse}|*|reportEquals|script,35
"{script}|doSetVar|*|*",35
stage:userDef|{sprite:userDef}|script|script|script,76
"{sprite:userDef}|script|script|*|*",3
"{doIfElse}|reportEquals|script|script",24
doIfElse|script|{gotoXY}|literal:userDef|*|*,31
stage:userDef|sprite:userDef|{script}|*|*|receiveGo|doSetVar,8
script|doIfElse|{script}|*|*|gotoXY,35
sprite:userDef|script|{goToLayer}|*|*|literal:userDef,17
script|{goToLayer}|*|literal:userDef|*,10
"{receiveInteraction}|*|*|*|literal:userDef",12
script|{gotoXY}|*|*|literal:userDef|literal:userDef,36
script|{hide}|*|*,1
"{sprite:userDef}|*|*|script",10
"{reifyScript}|list",1
stage:userDef|sprite:userDef|{script}|doIfElse|*|*|*,5
"{doIfElse}|reportEquals|script|script|*",37
"{gotoXY}|*|literal:userDef|literal:userDef|*",54
doTellTo|{reifyScript}|*|list|script|*,2
snapshot|stage:userDef|{sprite:userDef}|script,37
stage:userDef|{sprite:userDef}|script,1
sprite:userDef|{script}|receiveGo|show|*|*,1
"{script}|evaluateCustomBlock:userDef|show|*|*",18
stage:userDef|sprite:userDef|{script}|*|receiveGo|doSetVar|*,17
stage:userDef|sprite:userDef|{script}|*|receiveGo,6
doIfElse|{reportEquals}|*|literal:userDef,12
